[2020-02-15 11:53] [Weapon Hacks] Konaly_Brabo (6 times) - AK-47 (90 ammo, expected 0)
[2020-02-15 11:53] [Weapon Hacks] Konaly_Brabo (7 times) - AK-47 (90 ammo, expected 0)
[2020-02-15 11:56] [Weapon Hacks] Lindomar_Silva (1 times) - M4 (81 ammo, expected 0)
[2020-02-15 11:56] [Weapon Hacks] Lindomar_Silva (2 times) - Brassknuckle (1 ammo, expected 0)
[2020-02-15 11:56] [Weapon Hacks] Lindomar_Silva (3 times) - Rocket Launcher (90 ammo, expected 0)
[2020-02-15 11:57] [Weapon Hacks] Lindomar_Silva (4 times) - Rocket Launcher (89 ammo, expected 0)
[2020-02-15 11:57] [Weapon Hacks] Lindomar_Silva (5 times) - Rocket Launcher (89 ammo, expected 0)
[2020-02-16 00:09] [Weapon Hacks] Lindomar_Silva (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-16 00:32] [Weapon Hacks] Lindomar_Silva (2 times) - AK-47 (87 ammo, expected 0)
[2020-02-16 00:32] [Weapon Hacks] Lindomar_Silva (3 times) - Flower (1 ammo, expected 0)
[2020-02-16 00:32] [Weapon Hacks] Lindomar_Silva (4 times) - Flower (1 ammo, expected 0)
[2020-02-16 00:41] [Weapon Hacks] Lindomar_Silva (5 times) - AK-47 (89 ammo, expected 0)
[2020-02-16 00:51] [Weapon Hacks] Konaly_Brabo (1 times) - AK-47 (71 ammo, expected 0)
[2020-02-16 00:55] [Weapon Hacks] Konaly_Brabo (2 times) - AK-47 (80 ammo, expected 0)
[2020-02-16 00:55] [Weapon Hacks] Lindomar_Silva (6 times) - Tec-9 (47 ammo, expected 0)
[2020-02-16 03:17] [Weapon Hacks] Lindomar_Silva (7 times) - Tec-9 (57 ammo, expected 0)
[2020-02-16 06:33] [Weapon Hacks] Konaly_Brabo (3 times) - AK-47 (89 ammo, expected 0)
